Language,Repositories,None ,Basic,Mixed ,Advanced 
Python,2399,659,1541,196,3
Java,301,65,90,134,12
JavaScript,6320,1031,1908,3075,306
TypeScript,386,53,91,217,25
Go,147,0,141,5,1
C#,86,12,51,17,6
Ruby,164,1,6,138,19
Kotlin,146,10,6,78,52
Swift,107,1,39,64,3
Multiple,6820,798,1630,4229,163
