Rank,Language,Total Repos,Total patterns,Patterns/Repo Total 
1,Ruby,164,418,2.548780488
2,Kotlin,146,289,1.979452055
3,TypeScript,386,718,1.860103627
4,JavaScript,6320,11033,1.745727848
5,Swift,107,176,1.644859813
6,C#,86,133,1.546511628
7,Java ,301,429,1.425249169
8,Python,2399,2465,1.027511463
9,Go,147,97,0.659863946
