Language,Repositories,None %,Basic %,Mixed %,Advanced %,
Python,2399,27.47%,64.24%,8.17%,0.13%,8.30%
Java,301,21.60%,29.90%,45%,4%,49%
JavaScript,6320,16.30%,30.20%,48.70%,4.80%,53.50%
TypeScript,386,13.70%,23.60%,56.20%,6.50%,62.70%
Go,147,0.00%,95.92%,3.40%,0.70%,4.10%
C#,86,14%,59.30%,19.80%,7%,26.80%
Ruby,164,0.60%,3.70%,84.10%,11.60%,95.70%
Kotlin,146,6.84%,4.12%,53.42%,35.62%,89.04%
Swift,107,0.93%,36.45%,59.82%,2.80%,62.62%
Multiple,6820,11.70%,23.90%,62%,2.40%,64%
