id,hostname,repo_url,watcher,forks,stars,commits,last_updated,forked_by,readme,language,category
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/bramha-hub/Dictionary,1,0,0,,,,,HTML,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/olasunkanmi04/meaning,2,0,0,,,,,SCSS,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/UmaSahni/Dictionary-App,1,0,0,,,,,JavaScript,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/Henerystone/ws2,1,0,0,,,,,Jupyter Notebook,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/aidanywu/furious_five,0,2,0,,,,,CSS,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/SeanAllen19/Word-Guessing-Game,1,1,1,,,,,JavaScript,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/Ishi-Singh/Fastpages,1,0,0,,,,,Jupyter Notebook,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/akinloluwami/dic,2,0,0,,,,,CSS,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/Manishb18/Project-Spell-Champ,1,0,0,,,,,CSS,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/s1s2s3s4s5s/sm-dic,1,0,0,,,,,TypeScript,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/lwu1822/fastpages,1,2,0,,,,,Jupyter Notebook,Web Development
0,dictionary-by-api-ninjas.p.rapidapi.com,https://github.com/sbboxs/ID_Assignment-2,1,1,0,,,,,HTML,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/romancitodev/fewwis-bot,1,0,8,,,,,Rust,Backend and Systems
0,text-translator2.p.rapidapi.com,https://github.com/linder3hs/codigo-g12,1,1,22,,,,,HTML,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/amenai1979/wxflightpath,2,0,5,,,,,Python,General-Purpose and Scripting
0,text-translator2.p.rapidapi.com,https://github.com/johsan32/Translate-ReduxToolkit,1,0,0,,,,,Unknown,Unknown
0,text-translator2.p.rapidapi.com,https://github.com/looma/Looma-II,4,6,6,,,,,JavaScript,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/sunjay-dev/translator,1,0,1,,,,,HTML,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/alvarocormi/206DWESAplicacionFinal,1,0,0,,,,,CSS,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/marcoscorrales/JSONTranslate,1,0,0,,,,,TypeScript,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/RohiV04/sih_transalte_app,1,0,0,,,,,Python,General-Purpose and Scripting
0,text-translator2.p.rapidapi.com,https://github.com/Ashmit-cpp/LangBridge,2,0,0,,,,,TypeScript,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/mikaelagrace/NLPActivities,0,0,0,,,,,JavaScript,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/Pbonmars-20031006/translatorApp,1,0,0,,,,,Dart,Mobile App Development
0,text-translator2.p.rapidapi.com,https://github.com/srwesteban/traductor,1,0,0,,,,,JavaScript,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/phiwen96/Maxiumus,1,0,0,,,,,C++,Backend and Systems
0,text-translator2.p.rapidapi.com,https://github.com/Newdeveloper-c/Lessons,1,0,0,,,,,C#,Backend and Systems
0,text-translator2.p.rapidapi.com,https://github.com/dukeofsoftware/translator-berapp,1,0,4,,,,,TypeScript,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/Rusty-Full-Stack/http-examples,1,0,0,,,,,Rust,Backend and Systems
0,text-translator2.p.rapidapi.com,https://github.com/yunushanifi84/General-Discord-Bot-Project,1,0,0,,,,,JavaScript,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/munashex/Language-Translate,1,0,0,,,,,TypeScript,Web Development
0,text-translator2.p.rapidapi.com,https://github.com/kansarakeval/logic_translator,1,0,0,,,,,C++,Backend and Systems
0,lanytek-audio2midi.p.rapidapi.com,https://github.com/LanyTek/audio2midi_service,1,0,0,,,,,Unknown,Unknown
0,translator163.p.rapidapi.com,https://github.com/douglasvejar/TO-DO-PAGE,1,0,0,,,,,JavaScript,Web Development
0,google-translate-api8.p.rapidapi.com,https://github.com/bounswe/bounswe2023group2,8,2,10,,,,,Kotlin,Mobile App Development
0,mores-code-translator.p.rapidapi.com,https://github.com/naeimsalib/MorseCodeAPP,1,0,0,,,,,CSS,Web Development
0,cheap-translate.p.rapidapi.com,https://github.com/michelleduong35/blurb,1,0,0,,,,,HTML,Web Development
0,cheap-translate.p.rapidapi.com,https://github.com/xumoyuns/translator-app,1,0,1,,,,,JavaScript,Web Development
0,google-translate105.p.rapidapi.com,https://github.com/Rohan-lahane/AforAi,1,0,0,,,,,TypeScript,Web Development
0,google-translate105.p.rapidapi.com,https://github.com/Elhameed/language_translation_tool,1,0,0,,,,,Python,General-Purpose and Scripting
0,google-translate105.p.rapidapi.com,https://github.com/sugoiJG/learn-japanese-app,1,0,0,,,,,JavaScript,Web Development
0,lecto-translation.p.rapidapi.com,https://github.com/while1618/i18n-auto-translation,1,20,62,,,,,TypeScript,Web Development
0,lecto-translation.p.rapidapi.com,https://github.com/Samantha-Sokolis/team-project-1,3,2,2,,,,,HTML,Web Development
0,lecto-translation.p.rapidapi.com,https://github.com/lecto-ai/docs,1,2,0,,,,,Unknown,Unknown
0,lecto-translation.p.rapidapi.com,https://github.com/gtjames/FetchExamples,0,3,3,,,,,JavaScript,Web Development
0,lecto-translation.p.rapidapi.com,https://github.com/vicentemferrer/doc_translate,1,0,0,,,,,Python,General-Purpose and Scripting
0,lecto-translation.p.rapidapi.com,https://github.com/MinhQuan-Tran/ELEC5619-Object_Oriented_Application_Frameworks,1,1,0,,,,,Java,Backend and Systems
0,lecto-translation.p.rapidapi.com,https://github.com/tisenres/EnglishGuru,1,0,2,,,,,Kotlin,Mobile App Development
0,lecto-translation.p.rapidapi.com,https://github.com/saiberio-internal/i18n-auto-translation,0,0,0,,,,,TypeScript,Web Development
